etiqueta,comentario
queja,no hay internet
queja,al ingresar al sismi para obtener mis pólizas y mi carta renuncia al poner buscar me aparece que no se encuentran resultados llevo mas de 2 semanas asi
felicitación,felicitación por la gestión de los equipos el semestre pasado se encontraban descuidado y con máximo privilegios hoy ya se encuentran en mejor estado y cosas como la deshabilitación de cmd se felicita
queja,La plataforma no funciona correctamente
sugerencia,tener cables de red ethernet disponibles para laptops
sugerencia,muchos de mis compañeros luego se quedan sin grupo a pesar de que tienen un promedio arriba de 8 porque se acaban muy rapido los pocos lugares más en la mañana ya que hay ciertos compañeros que no tienen la posibilidad de ir en la tarde por sus trabajos también siempre que nos reinscribimos aparecen varios profesor como sin asignar al momento de hacer nuestro horario
sugerencia,mas internet en las compus
felicitación,muy buena atención
sugerencia,verificar que el disco duro siempre está al 100
queja,La atención fue muy lenta
felicitación,estuvo padre la actividad
felicitación,buena velocidad un poco lento el internet
queja,No se solucionó el inconveniente
sugerencia,el cambio de salones que hicieron está horrible
sugerencia,que quizá en el futuro puedan haber más máquinas con conexión de internet quizá también que se vigile que no vuelvan a robar equipo de cómputo
sugerencia,sugiero poder conectar el ethernet a nuestro equipo para poder hacer uso del internet y del monitor
queja,deben de haber más grupos y opciones para ia y lcd
sugerencia,buen día me gustaría saber dónde puedo comunicarme con ustedes para poder postularme en ser catedrático soy experto en el área de análisis y vizualizadores de datos por más de 5 años dentro del mundo corporativo en las más importantes empresas de retrail como dando cursos nacional como internacional y busco mucho seguir compartiendo mi conocimientos quedó atento a su respuesta saludos
felicitación,buen servicio muy amables
sugerencia,estaría bien poner linux y windows en todas las compus
felicitación,muy buen servicio
felicitación,ninguna todo bien
sugerencia,mi felicitacion es al profesor mosso que cuando tuve problemas con mi papeleo en el cambio de carrera me ayudo a completar este procedimiento
felicitación,se me atendió de la mejor manera
felicitación,buenas maquinas y conexion a internet
sugerencia,mejorar los servicios de internet sobre todo en los salones de abajo
queja,nº había internet en las maquinas
sugerencia,poner cortinas en otros salones
sugerencia,algunas no tienen internet
queja,por medio de la presente quiero manifestar mi inconformidad respecto al servicio de casilleros que se ofrece en la escuela recientemente se aumentó el costo en 50 pesos de manera repentina y sin justificación alguna lo cual resulta injusto para los estudiantes ya que no se brindó explicación clara ni se notificó con anticipación además del incremento de precio el servicio de entrega de casilleros es deficiente el proceso resulta desorganizado lento y poco eficiente generando molestias innecesarias para quienes cumplimos puntualmente con el pago considero que como alumnos merecemos un trato justo y transparente lo mínimo que se debería garantizar es una explicación clara sobre los aumentos en el costo y una mejora real en la atención y organización al momento de asignar y entregar los casilleros solicito atentamente que se revise esta situación se brinde una respuesta sobre el aumento aplicado y se tomen las medidas necesarias para mejorar el servicio atentamente anónimo
felicitación,muy buena atención y resuelve todas tus dudas amablemente
felicitación,el equipo funciono bien
felicitación,felicitación por mantener los equipos en buen estado
sugerencia,no hay internet en algunas máquinas
felicitación,ha mejorado el rendimiento de más computadoras
sugerencia,buena opción la de juntar a las carreras pasa que se puede convivir con todos
queja,La respuesta fue tardía
felicitación,felicitación por el uso del equipo
felicitación,buen servicio 1010
sugerencia,pedí constancia de estudios y de inscripción y no me deja bajarlas del saes
queja,No resolvieron mi problema
queja,no parece haber un interés en las encuestas se sabe de profesores que no enseñan bien o que de plano no enseñan y pese a las múltiples encuestas la escuela sigue asignándoles muchos grupos
sugerencia,hay problemas de horario al momento de la reinscripción
felicitación,buenos equipos de cómputo
queja,No recibí respuesta a mi solicitud
sugerencia,las máquinas están algo lentas
sugerencia,dispersión de apoyo extraordinario despues del terminal el ciclo escolar
sugerencia,muy bien servicio
felicitación,muy buen servicio
felicitación,ninguna queja en absoluto todo fue fluido
queja,no todas las máquinas tienen internet
