etiqueta,comentario
felicitación,funcionan bien las computadoras solo falta que la red este un poco mejor
queja,las computadoras están muy lentas y ni siquiera están conectadas a un internet estable
felicitación,el laboratorio esta en excelentes condiciones
sugerencia,que no sean tan apáticos
sugerencia,las computadoras van lentas
sugerencia,que casi ningún equipo se puede prender
sugerencia,tener más contactos de luz para poder conectar en caso de traer lap
felicitación,se agradece el uso de azure
sugerencia,agregar lector de disco
sugerencia,verificar que el disco duro siempre está al 100
felicitación,me agradaron las computadora
queja,no hay quemador de discos y se requiere para grabar la información en los discos que solicita la catt para tt2
felicitación,la máquina no tenía internet
sugerencia,simplemente que en el futuro puedan haber más máquinas con conexión de internet
sugerencia,que en el futuro haya más ordenadores con conexión de internet
sugerencia,que quizá en el futuro puedan haber más máquinas con conexión de internet quizá también que se vigile que no vuelvan a robar equipo de cómputo
sugerencia,algunas no tienen internet
queja,la mayoría del personal no todos pareciera que te hacen un favor cuando solicitas informacion ya sea en ventanilla o por vía telefonica en mas de una ocasion se han limitado a decirme que la informacion se encuentra en la pagina sin embargo a veces he encontrado url a formularios vencidos o con informacion de semestres anteriores
sugerencia,buen día me gustaría saber dónde puedo comunicarme con ustedes para poder postularme en ser catedrático soy experto en el área de análisis y vizualizadores de datos por más de 5 años dentro del mundo corporativo en las más importantes empresas de retrail como dando cursos nacional como internacional y busco mucho seguir compartiendo mi conocimientos quedó atento a su respuesta saludos
sugerencia,pongan internet a las demás computadoras
sugerencia,ojalá todas tuvieran internet y no tuviéramos que esperar hasta que se desocupen
sugerencia,que en el futuro en lo más posible pueda aumentar el número de computadoras con conexión de internet
queja,en la mayoría de computadoras no hay internet
sugerencia,le hace falta internet a las compus así como alguno que otro programa necesario
queja,no todas las máquinas tienen internet
queja,nº había internet en las maquinas
sugerencia,pongan internet a las ptras máquinas
felicitación,dan un buen servicio
queja,no hay internet
sugerencia,no tenían internet
queja,no hay internet
sugerencia,la atención fue buena
sugerencia,no hay internet en todas las máquinas
sugerencia,el internet en las computadoras
sugerencia,falta internet en las compus
sugerencia,algunas computadoras no tienen internet o no prenden
felicitación,felicitacion muy limpio
felicitación,use una computadora con internet
felicitación,ninguna queja en absoluto todo fue fluido
queja,ya es cansado hacer todo esto
sugerencia,mejor gestión en los cables de internet y su repartición
sugerencia,mejor gestión de internet ya que algunos equipos no cuentan con el mismo
sugerencia,no había internet
felicitación,muy buena compu
felicitación,deberían de conectar todas las computadoras a internet
sugerencia,mas internet en las compus
queja,mala internet nefasto
felicitación,felicidades al final arreglaron las compis sin internet
queja,no tenía internet la computadora
sugerencia,las computadoras no tenían internet pero no fue buen servicio
felicitación,el internet es un poco malo
sugerencia,fijarse en el internet y la distribución de cables ethernet
sugerencia,no hay internet en algunas máquinas
felicitación,me gustó los equipos
queja,el chico siempre pide llenar la encuesta y me quita tiempo
felicitación,ninguna todo bien
queja,la persona que estaba en ventanilla el dia 3 de septiembre a las 120 contesto de manera prepotente y despota sobre la información de un tramite
queja,las computadoras no tienen internet y se tarda en buscar una con internet
sugerencia,no había internet en las máquinas
felicitación,son muy amables y atentos
sugerencia,tener cables de red ethernet disponibles para laptops
felicitación,de momento nada
queja,no había internet
queja,no había internet en las computadoras
queja,me explicaron que al pedir el auditorio de escom se tenía que pedir grupo a la subdirección académica siempre dicen que andan ocupados y cuando dices que no hay problema que esperas te miran mal ya cuando ven que te esperas te ven con una cara de asco y ya te hacen pasar y te atienden de mala gana te hablan altaneramente y te ningunean ni siquiera dejan explicar bien la situación porque te están regañando como si fuera tu culpa ir allí encima denigran tu espacio en el auditorio como si lo que fueras hacer no vale nada como incitándote a cancelarla
sugerencia,internet no funciona
queja,no tiene internet
sugerencia,no hay internet en algunas máquinas
sugerencia,las máquinas están algo lentas
felicitación,el equipo funciono bien
sugerencia,me solicitaron llenar el formulario
felicitación,buen equipo de cómputo buena atención académica
felicitación,muy bien equipo
sugerencia,sugiero poder conectar el ethernet a nuestro equipo para poder hacer uso del internet y del monitor
queja,las máquinas no se pueden usar para hacer tareas en horas libres no dejan programas ni tienen ningún programa o ide para poder hacer prácticas
felicitación,muy buen servicio
